,,,,,,,,,,,,,,,,,,,,,
Start,Start Country,Start Lat,Start Long,End,End Country,End Lat,End Long,Year, Price , lower bound , upper bound ,CCY, USD equiv , USD equiv avg ,1 person?,Nationality of Migrant,Nationality of Smuggler,Service,Via,Source,Comment
Albania,Albania,,,Italy,Italy,,,2007,,"  2,000 ","  5,000 ",EUR, 2670-6670 ,"  4,670 ",TRUE,,,Unknown,Bosnia,"ICMPD Yearbook 2007, 2008, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2008/ICMPD-2008-Yearbook-Illegal-Migration.pdf",Via Bosnia
Albania,Albania,,,Italy,Italy,,,2007,"  3,000 ",,,EUR,"  4,000 ","  4,000 ",TRUE,,,Overland,Croatia,"ICMPD Yearbook 2007, 2008, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2008/ICMPD-2008-Yearbook-Illegal-Migration.pdf",Via Croatia
Alexandria,Egypt,,,Italy,Italy,,,2013,"  3,200 ",,,USD,"  3,200 ","  3,200 ",TRUE,Syrian,,Boat,,"The Guardian, 14 January 2014, http://www.theguardian.com/world/2014/jan/14/syrian-palestinian-refugee-egypt-mahmoud",
Algeria,Algeria,,,Italy,Italy,,,2015,"  2,500 ",,,USD,"  2,500 ","  2,500 ",TRUE,,,Boat,Libya,"Daniel Adamson, 13 May 2015, http://www.bbc.com/news/magazine-32707346",Facebook-advertised price for Algeria-Italy journey via Libya
Athens,Greece,,,Italy,Italy,,,2014,"  3,000 ",,,EUR,"  4,000 ","  4,000 ",TRUE,,,Plane,,"Di Nicola and Musumeci, Confessioni di un Traficante di Uomini, 2014",Price includes air tickets and passport
Athens,Greece,,,Italy,Italy,,,2014,"  1,000 ",,,EUR,"  1,330 ","  1,330 ",TRUE,,,Truck,,"Di Nicola and Musumeci, Confessioni di un Traficante di Uomini, 2014",
Athens,Greece,,,Italy,Italy,,,2011,"  2,000 ",,,EUR,"  2,860 ","  2,860 ",TRUE,Afghan,Kurdish,Overland,,"Paolo Martino, January 2011, http://www.balcanicaucaso.org/eng/Regions-and-countries/Greece/Mussa-Khan.-The-other-side-of-the-acropolis-80822","Price to Venice or Brindisi, offered by Kurdish traffickers"
Benghazi,Libya,,,Italy,Italy,,,2015,,"  1,000 ","  7,000 ",USD, 1000-7000 ,"  4,000 ",TRUE,Sudanese,,Boat,,"NDTV, 18 June 2015, http://www.ndtv.com/world-news/a-life-in-limbo-for-migrants-stuck-on-the-french-italian-border-772768",Price for a Sudanese man
Bosnia,Bosnia,,,Italy,Italy,,,2007,"  1,300 ",,,EUR,"  1,730 ","  1,730 ",TRUE,,,Unknown,Croatia,"ICMPD Yearbook 2007, 2008, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2008/ICMPD-2008-Yearbook-Illegal-Migration.pdf",Via Croatia
Cairo,Egypt,,,Italy,Italy,,,2007,,"  6,700 ","  9,500 ",EUR, 8930-12670 ,"  10,800 ",TRUE,,,Plane,,http://www.unodc.org/documents/human-trafficking/Migrant_smuggling_in_North_Africa_June_2010_ebook_E_09-87293.pdf,"Source : Ayman Zohry (Ph.D. University of Sussex) is an expert on migration studies based in Cairo, Egypt. He is the current as well as the founding president of the Egyptian Society for Migration Studies (EGYMIG). - See more at: http://www.imi.ox.ac.uk/researcher-directory/ayman-zohry#sthash.0ukQ3R8x.dpuf"
Cairo,Egypt,,,Italy,Italy,,,2007,"  2,000 ",,,EUR,"  2,670 ","  2,670 ",TRUE,,,Boat,,http://www.unodc.org/documents/human-trafficking/Migrant_smuggling_in_North_Africa_June_2010_ebook_E_09-87293.pdf,"Source : Ayman Zohry (Ph.D. University of Sussex) is an expert on migration studies based in Cairo, Egypt. He is the current as well as the founding president of the Egyptian Society for Migration Studies (EGYMIG). - See more at: http://www.imi.ox.ac.uk/researcher-directory/ayman-zohry#sthash.0ukQ3R8x.dpuf"
Cairo,Egypt,,,Italy,Italy,,,2014,,"  1,500 ","  3,500 ",USD, 1500-3500 ,"  2,500 ",TRUE,Syrian,,Boat,,"The Guardian, 7 January 2015, http://www.theguardian.com/world/2015/jan/07/-sp-trading-souls-inside-world-people-smugglers",Most common price is 1900 USD
China,China,,,Italy,Italy,,,2014,"  15,000 ",,,USD,"  15,000 ","  15,000 ",TRUE,,,Unknown,,"Di Nicola and Musumeci, Confessioni di un Traficante di Uomini, 2014",
China,China,,,Italy,Italy,,,2001,"  10,300 ",,,EUR,"  12,410 ","  12,410 ",TRUE,,,Unknown,,"Ilse van Liempt, Navigating Borders, 2007",
Czech Republic,Czech Republic,,,Italy,Italy,,,2006,,  700 ,"  1,000 ",USD, 700-1000 ,  850 ,TRUE,,,Unknown,,"Spiegel, April 30th 2006",on a price list of a trafficking organisation
Darfur,Sudan,,,Italy,Italy,,,2014,"  3,000 ",,,USD,"  3,000 ","  3,000 ",TRUE,Sudanese,,Unknown,,"Toronto Star, 7 November 2014, http://www.thestar.com/news/world/2014/11/07/dodging_death_on_the_mediterranean.html",Price per person for 2 Sudanese
Egypt,Egypt,,,Italy,Italy,,,2012,,"  4,000 ","  6,000 ",EUR, 5000-7500 ,"  6,250 ",TRUE,,,Boat,,"INHESJ, February 2013, http://www.inhesj.fr/sites/default/files/trafic_illicite_de_migrants_v2.pdf",Fishing boat
Egypt,Egypt,,,Italy,Italy,,,2013,"  3,500 ",,,USD,"  3,500 ","  3,500 ",TRUE,Syrian,,Boat,,"Q Code Magazine, 10 October 2013, http://www.qcodemag.it/2013/10/10/profughi-siria/",Price per person for Syrian adults; price negotiated in Damascus
Egypt,Egypt,,,Italy,Italy,,,2013,"  1,500 ",,,USD,"  1,500 ","  1,500 ",TRUE,Syrian,,Boat,,"Q Code Magazine, 10 October 2013, http://www.qcodemag.it/2013/10/10/profughi-siria/",Price per person for Syrian adolescents; price negotiated in Damascus
Egypt,Egypt,,,Italy,Italy,,,2015,"  2,000 ",,,USD,"  2,000 ","  2,000 ",TRUE,Syrian,,Boat,,"Patrick Kingsley, 9 June 2015, http://www.theguardian.com/world/ng-interactive/2015/jun/09/a-migrants-journey-from-syria-to-sweden-interactive",Price per person
Egypt,Egypt,,,Italy,Italy,,,2015,"  3,000 ",,,USD,"  3,000 ","  3,000 ",TRUE,Egyptian,,Boat,,"The Guardian, 6 April 2015, http://www.theguardian.com/world/2015/apr/06/at-night-its-like-a-horror-movie-inside-calaiss-official-shanty-town",Price for an Egyptian
Eritrea,Eritrea,,,Italy,Italy,,,2015,"  5,000 ",,,USD,"  5,000 ","  5,000 ",FALSE,Eritrean,,Boat,"South Sudan, Libya","UNHCR, 20 April 2015, http://www.unhcr.org/55351f4f9.html",Price for Eritrean mother and baby daughter from Eritrea to Italy via South Sudan and Libya
Eritrea,Eritrea,,,Italy,Italy,,,2015,"  4,000 ",,,USD,"  4,000 ","  4,000 ",TRUE,Eritrean,,Overland and boat,"Khartoum, Libya","The Guardian, 8 July 2015, http://www.theguardian.com/news/2015/jul/08/millionaire-who-rescues-migrants-at-sea",Via Khartoum and Libya
Fethiye,Turkey,,,Italy,Italy,,,2014,"  3,000 ",,,EUR,"  4,000 ","  4,000 ",TRUE,Syrian,,Boat,,https://samoschronicles.wordpress.com/2014/12/09/in-syntagma-square-syrian-refugees-fight-back/,"""Yacht."" Price paid by a Syrian"
Gambia,Gambia,,,Italy,Italy,,,2015,"  2,000 ",,,USD,"  2,000 ","  2,000 ",TRUE,Gambian,,Overland and boat,,"Washington Post, 14 June 2015, http://www.washingtonpost.com/sf/world/2015/06/14/tiny-gambia-has-a-big-export-migrants-desperate-to-reach-europe/",Price for a Gambian
Garabulli,Libya,,,Italy,Italy,,,2015,  350 ,,,GBP,  540 ,  540 ,TRUE,Gambian,,Boat,,"The Guardian, 22 May 2015, http://www.theguardian.com/world/2015/may/22/migrant-boat-disaster-mediterranean-survivors-stories",Fare paid by the boss of a Gambian man to smugglers to put him on a boat. Man had told the boss that he wanted to leave Libya and go back to the Gambia.
Garabulli,Libya,,,Italy,Italy,,,2015,"  7,000 ",,,LYD,"  5,110 ","  5,110 ",TRUE,Malian,,Boat,,"The Guardian, 22 May 2015, http://www.theguardian.com/world/2015/may/22/migrant-boat-disaster-mediterranean-survivors-stories",
Garabulli,Libya,,,Italy,Italy,,,2015,,  750 ,"  1,000 ",USD, 750-1000 ,  875 ,TRUE,,,Boat,,"The Daily Beast, 12 June 2015, http://www.thedailybeast.com/articles/2015/06/12/the-smugglers-cashing-in-on-children-s-misery.html",Price for passage on rubber boat
Garabulli,Libya,,,Italy,Italy,,,2014,"  1,000 ",,,LYD,  830 ,  830 ,TRUE,Sudanese,,Boat,,"Mixed Migration Hub, July 2015, http://www.mixedmigrationhub.org/wp-content/uploads/2015/07/MHUB_2015_Detained-Youth.pdf",
Gaza,Palestine,,,Italy,Italy,,,2014,"  2,000 ",,,EUR,"  2,670 ","  2,670 ",TRUE,Palestinian,,Boat,,http://www.dw.de/testimonios-confirman-que-traficantes-hundieron-barco-con-500-inmigrantes/a-17927631,"The boat was intercepted in Greece, Italy was the final destiny"
Gaza,Palestine,,,Italy,Italy,,,2014,"  2,000 ",,,USD,"  2,000 ","  2,000 ",TRUE,Palestinian,,Overland and boat,Via Damietta,"LesAfriques.com, 18 September 2014, http://www.lesafriques.com/actualite/mediterranee-temoignages-d-un-drame-provoque.html?Itemid=63","Taken by bus from meeting point in Egypt to port of Damietta (near Alexandria), then boat"
Gaza,Palestine,,,Italy,Italy,,,2014,"  2,000 ",,,USD,"  2,000 ","  2,000 ",TRUE,Palestinian,Syrian,Unknown,,"The Guardian, 1 October 2014, http://www.theguardian.com/world/2014/oct/01/-sp-sea-mediterranean-migrant-disaster",Payment to an Alexandria-based broker known as Abu Hamada
Greece,Greece,,,Italy,Italy,,,2015,"  10,000 ",,,EUR,"  11,110 ","  11,110 ",FALSE,Syrian,,Overland,,Greec Police http://www.astynomia.gr/index.php?option=ozo_content&perform=view&id=49990&Itemid=1429&lang= ,2 migrefs from Syria payed 10.000 in total in order to be transfered to Italy
Greece,Greece,,,Italy,Italy,,,2011,,"  4,000 ","  6,000 ",EUR, 5710-8570 ,"  7,140 ",TRUE,,,Overland and boat,,"INHESJ, February 2013, http://www.inhesj.fr/sites/default/files/trafic_illicite_de_migrants_v2.pdf",Price to go by truck from Athens to Greek coast and then by boat to Italy
Greece,Greece,,,Italy,Italy,,,2012,,"  1,000 ","  3,000 ",EUR, 1250-3750 ,"  2,500 ",TRUE,,,Boat,,"INHESJ, February 2013, http://www.inhesj.fr/sites/default/files/trafic_illicite_de_migrants_v2.pdf",Price to go from southern Greek ports (such as Vouliagmeni) to Italy
Greece,Greece,,,Italy,Italy,,,2011,,"  2,000 ","  3,000 ",EUR, 2860-4290 ,"  3,575 ",TRUE,,,Overland,,"Anna Triandafyllidou and Thanos Maroukis, 2013, Migrant Smuggling: Irregular Migration from Asia and Africa to Europe","Overland trip with a ""safe driver"""
Greece,Greece,,,Italy,Italy,,,2013,"  4,000 ",,,USD,"  4,000 ","  4,000 ",TRUE,Afghan,,Boat,,"IRMA Governing Irregular Migration, April 2013, http://irma.eliamep.gr/wp-content/uploads/2013/04/IRMA-Case-Study_Afghanistan-EN.pdf",Price for Afghans
Greece,Greece,,,Italy,Italy,,,2011,"  7,000 ",,,EUR,"  10,000 ","  10,000 ",TRUE,Afghan,,Truck,,"Paolo Martino, February 2011, http://www.balcanicaucaso.org/eng/Feature-stories/Mussa-Khan/Articles/Mussa-Khan.-The-boys-of-the-fence-80974","Price for truck from Patras to Bari, Italy"
Greece,Greece,,,Italy,Italy,,,2015,"  4,000 ",,,USD,"  4,000 ","  4,000 ",TRUE,Afghan,,Boat,,"IRMA, 2015, http://irma.eliamep.gr/wp-content/uploads/2013/04/IRMA-Case-Study_Afghanistan-EN.pdf",Price for an Afghan
Greece,Greece,,,Italy,Italy,,,2015,"  2,000 ",,,EUR,"  2,220 ","  2,220 ",TRUE,Pakistani,,Unknown,,"IRMA, 2015, http://irma.eliamep.gr/wp-content/uploads/2013/04/IRMA-Case-Study_PAKISTAN-EN.pdf",Price for a Pakistani
Greece,Greece,,,Italy,Italy,,,2008,,"  1,200 ","  5,700 ",EUR, 1800-8550 ,"  5,175 ",TRUE,Iraqi Kurd,,Boat,,"Olivier Thomas, 2012, https://halshs.archives-ouvertes.fr/tel-00673859/document",Price for Iraqi Kurds
Greece ,Greece,,,Italy,Italy,,,2015,,"  2,000 ","  2,500 ",EUR, 2220-2780 ,"  2,500 ",TRUE,Syrian,,Unknown,,Greek Police: http://www.astynomia.gr/index.php?option=ozo_content&lang=%27..%27&perform=view&id=52263&Itemid=1496&lang=,"54 migrefs from Syria, Somalia, Iran, Iraq were with the 5 smugglers"
Greece ,Greece,,,Italy,Italy,,,2015,"  12,000 ",,,EUR,"  13,330 ","  13,330 ",FALSE,Syrian,,Overland,,Greek Police  http://www.astynomia.gr/index.php?option=ozo_content&perform=view&id=50176&Itemid=1429&lang= ,3 migrefs from Syria payed 12.000 in total in order to be transfered out of Greece 
Istanbul,Turkey,,,Italy,Italy,,,2014,"  6,500 ",,,EUR,"  8,670 ","  8,670 ",TRUE,,,Boat,,https://www.facebook.com/europe.travel.from.turkey/timeline,"Human smugglers ad on facebook 11/27/15. ""Yacht"""
Istanbul,Turkey,,,Italy,Italy,,,2002,,"  1,500 ","  2,000 ",USD, 1500-2000 ,"  1,750 ",TRUE,,,Unknown,,"Ilse van Liempt, Navigating Borders, 2007",
Kafr el-Sheikh,Egypt,,,Italy,Italy,,,2015,"  2,500 ",,,USD,"  2,500 ","  2,500 ",TRUE,,,Boat,,http://www.elwatannews.com/news/details/702748,Not carried out - arrested before getting on board
Kosovo,Kosovo,,,Italy,Italy,,,2007,"  1,800 ",,,EUR,"  2,400 ","  2,400 ",TRUE,,,Unknown,Bosnia,"ICMPD Yearbook 2007, 2008, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2008/ICMPD-2008-Yearbook-Illegal-Migration.pdf",Via Bosnia
Latakia,Syria,,,Italy,Italy,,,2013,"  3,000 ",,,USD,"  3,000 ","  3,000 ",TRUE,Syrian,,Boat,,"La Repubblica, 17 October 2013, http://video.repubblica.it/le-inchieste/dove-siamo-l-odissea-dei-migranti-siriani-soccorsi-in-sicilia/143408/141942",
Libya,Libya,,,Italy,Italy,,,2014,"  1,500 ",,,USD,"  1,500 ","  1,500 ",TRUE,,,Boat,,http://www.timesofmalta.com/articles/view/20140723/local/many-migrants-drowned-as-others-were-stabbed-by-traffickers-in-fridays-tragedy.528838,On deck
Libya,Libya,,,Italy,Italy,,,2014,  375 ,,,USD,  375 ,  375 ,TRUE,,,Boat,,http://www.timesofmalta.com/articles/view/20140723/local/many-migrants-drowned-as-others-were-stabbed-by-traffickers-in-fridays-tragedy.528839,In hold
Libya,Libya,,,Italy,Italy,,,2014,"  3,400 ",,,USD,"  3,400 ","  3,400 ",TRUE,Eritrean,,Boat,,http://www.borderline-europe.de/sites/default/files/readingtips/2014_08_b-e_Dossier%20Mare%20Nostrum_wei%C3%9F.pdf,No pilot
Libya,Libya,,,Italy,Italy,,,2014,,  700 ,"  1,000 ",USD, 700-1000 ,  850 ,TRUE,Sudanese,,Boat,,http://www.borderline-europe.de/sites/default/files/readingtips/2014_08_b-e_Dossier%20Mare%20Nostrum_wei%C3%9F.pdf,
Libya,Libya,,,Italy,Italy,,,2011,  700 ,,,USD,  700 ,  700 ,TRUE,Somali,,Boat,,http://www.borderline-europe.de/sites/default/files/readingtips/2014_08_b-e_Dossier%20Mare%20Nostrum_wei%C3%9F.pdf,Rubber boat
Libya,Libya,,,Italy,Italy,,,2014,"  5,000 ",,,USD,"  5,000 ","  5,000 ",TRUE,Somali,,Unknown,,http://www.borderline-europe.de/sites/default/files/readingtips/2014_08_b-e_Dossier%20Mare%20Nostrum_wei%C3%9F.pdf,
Libya,Libya,,,Palermo,Italy,,,2014,"  1,000 ",,,LYD,  800 ,  800 ,TRUE,Pakistani,,Boat,,http://www.borderline-europe.de/sites/default/files/readingtips/2014_08_b-e_Dossier%20Mare%20Nostrum_wei%C3%9F.pdf,"""Big wooden boat"""
Libya,Libya,,,Palermo,Italy,,,2014,"  1,000 ",,,LYD,  800 ,  800 ,TRUE,Senegalese,,Boat,,http://www.borderline-europe.de/sites/default/files/readingtips/2014_08_b-e_Dossier%20Mare%20Nostrum_wei%C3%9F.pdf,
Libya,Libya,,,Palermo,Italy,,,2014,"  1,000 ",,,LYD,  800 ,  800 ,TRUE,Gambian,,Boat,,http://www.borderline-europe.de/sites/default/files/readingtips/2014_08_b-e_Dossier%20Mare%20Nostrum_wei%C3%9F.pdf,"""Little wooden boat"""
Libya,Libya,,,Italy,Italy,,,2008,"  3,000 ",,,EUR,"  4,760 ","  4,760 ",TRUE,,Libyan,Unknown,,http://www.unodc.org/documents/human-trafficking/Migrant_smuggling_in_North_Africa_June_2010_ebook_E_09-87293.pdf,"Full-package solutions, including at times assistance in Italy on departure from the detention centres for irregular migrants (Coluccello and Massey, 2007; Monzini, 2008). Payment:  €1,500 to the Libyan organizers at the moment of departure, with the remaining €1,500 paid by relatives in Italy once it has been determined that the trip was successful. "
Libya,Libya,,,Italy,Italy,,,2006,"  1,200 ",,,EUR,"  1,500 ","  1,500 ",TRUE,,,Unknown,,http://www.unodc.org/documents/human-trafficking/Migrant_smuggling_in_North_Africa_June_2010_ebook_E_09-87293.pdf,
Libya,Libya,,,Italy,Italy,,,2004,  800 ,,,EUR,  960 ,  960 ,TRUE,,,Unknown,,http://www.unodc.org/documents/human-trafficking/Migrant_smuggling_in_North_Africa_June_2010_ebook_E_09-87293.pdf,
Libya,Libya,,,Italy,Italy,,,2004,  800 ,,,EUR,  960 ,  960 ,TRUE,,,Unknown,,https://www.bfm.admin.ch/dam/data/bfm/publiservice/service/forschung/illegale_migrationpublic.pdf,p. 6
Libya,Libya,,,Italy,Italy,,,2014,,"  1,200 ","  1,500 ",USD, 1600-2000 ,"  1,800 ",TRUE,,,Boat,,"Weltwoche, May 22nd 2014",Costs per person
Libya,Libya,,,Italy,Italy,,,2015,"  2,000 ",,,USD,"  2,000 ","  2,000 ",FALSE,,,Overland and boat,,"Süddeutsche Zeitung, April 25th 2015",Costs for two people
Libya,Libya,,,Italy,Italy,,,2013,"  1,500 ",,,USD,"  1,500 ","  1,500 ",TRUE,,,Boat,,"Süddeutsche Zeitung, April 25th 2015",Costs per person
Libya,Libya,,,Italy,Italy,,,2014,"  1,500 ",,,USD,"  1,500 ","  1,500 ",TRUE,,,Boat,,"Süddeutsche Zeitung, April 25th 2015",Costs per person
Libya,Libya,,,Italy,Italy,,,2015,  650 ,,,EUR,  720 ,  720 ,TRUE,,,Boat,,"Süddeutsche Zeitung, April 25th 2015",Costs per person
Libya,Libya,,,Italy,Italy,,,2015,  728 ,,,USD,  728 ,  728 ,TRUE,Gambian,,Boat,,"BBC News, 23 April 2015, http://www.bbc.com/news/world-europe-32381101",Price paid by a Gambian. Fishing boat
Libya,Libya,,,Italy,Italy,,,2015,"  1,000 ",,,USD,"  1,000 ","  1,000 ",TRUE,Ghanaian,,Unknown,,"BBC News, 21 April 2015, http://www.bbc.com/news/world-africa-32392788","Prices reported in Zintan, Libya (100km from ocean)"
Libya,Libya,,,Italy,Italy,,,2014,"  1,000 ",,,USD,"  1,000 ","  1,000 ",TRUE,,,Boat,,"The Guardian, 20 October 2014, http://www.theguardian.com/world/2014/oct/20/-sp-migrants-tales-asylum-sea-mediterranean",Standard rate for crossing. Fishing boat
Libya,Libya,,,Italy,Italy,,,2014,  740 ,,,USD,  740 ,  740 ,TRUE,Gambian,,Boat,,"Amnesty International, 2014, http://www.amnesty.ch/de/themen/asyl-migration/europa/dok/2014/verantwortung-fuer-fluechtlinge-in-seenot/bericht-lives-adrift-refugees-and-migrants-in-peril-in-the-central-mediterranean-.-september-2014.-88-seiten",Price per person for two Gambians. Final stage of journey: Gambia-->Senegal-->Bamako-->Burkina-->Niger-->Libya-->Italy
Libya,Libya,,,Italy,Italy,,,2015,,  600 ,"  1,100 ",USD, 600-1100 ,  850 ,TRUE,Syrian,,Boat,,"Deutsche Welle, 24 April 2015, http://www.dw.de/one-syrian-refugees-odyssey-to-europe/a-18407711","""Normal price"" for a Syrian is $600, but $1,100 was the price paid by each of a group of 12 Syrians"
Libya,Libya,,,Italy,Italy,,,2014,,  825 ,"  2,500 ",USD, 825-2500 ,"  1,663 ",TRUE,,,Boat,,"Barbie Latza Nadeau, 5 June 2014, http://www.thedailybeast.com/articles/2014/06/05/confessions-of-a-human-trafficker-who-smuggled-desperate-migrants-into-europe.html",Fishing boat
Libya,Libya,,,Italy,Italy,,,2014,"  1,500 ",,,USD,"  1,500 ","  1,500 ",TRUE,,,Boat,,"Barbie Latza Nadeau, 5 June 2014, http://www.thedailybeast.com/articles/2014/06/05/confessions-of-a-human-trafficker-who-smuggled-desperate-migrants-into-europe.html",Cost to take unaccompanied minor from Libya to Italy. Fishing boat
Libya,Libya,,,Italy,Italy,,,2015,"  700,000 ",,,XOF,"  1,190 ","  1,190 ",TRUE,Senegalese,,Boat,,"Bate Felix, 27 May 2015, http://af.reuters.com/article/topNews/idAFKBN0OC0L520150527?pageNumber=2&virtualBrandChannel=0",Price for Senegalese man going from Libya to Italy
Libya,Libya,,,Italy,Italy,,,2015,"  3,000 ",,,EUR,"  3,330 ","  3,330 ",TRUE,,,Boat,,"The National (UAE), 23 April 2015, http://www.thenational.ae/world/middle-east/in-libyas-anarchy-migrant-smuggling-a-booming-trade",Price for a place on a larger fishing boat
Libya,Libya,,,Italy,Italy,,,2015,  500 ,,,USD,  500 ,  500 ,TRUE,,,Boat,,"The National (UAE), 23 April 2015, http://www.thenational.ae/world/middle-east/in-libyas-anarchy-migrant-smuggling-a-booming-trade",Inflatable boat
Libya,Libya,,,Italy,Italy,,,2015,,"  1,000 ","  2,000 ",USD, 1000-2000 ,"  1,500 ",TRUE,,,Boat,,"The National (UAE), 23 April 2015, http://www.thenational.ae/world/middle-east/in-libyas-anarchy-migrant-smuggling-a-booming-trade",Place on a boat somewhere between a raft and a large trawler
Libya,Libya,,,Italy,Italy,,,2014,"  1,500 ",,,USD,"  1,500 ","  1,500 ",TRUE,Syrian,,Boat,,"Save the Children, 1 June 2014, http://www.savethechildren.de/fileadmin/Dokumente_Download/SC_report_The_boat_is_safe_and_other_lies.pdf",Price per person for a large group of Syrians
Libya,Libya,,,Italy,Italy,,,2015,,  400 ,"  2,500 ",USD, 400-2500 ,"  1,450 ",TRUE,,,Boat,,"Reuters, 15 April 2015, http://www.reuters.com/article/2015/04/15/us-mediterranean-migrants-abuse-idUSKBN0N62RY20150415",Range of prices for African migrants trying to leave Libya
Libya,Libya,,,Italy,Italy,,,2014,"  2,300 ",,,USD,"  2,300 ","  2,300 ",TRUE,Syrian,,Boat,,"The Nation, 11 February 2015, http://www.thenation.com/article/197833/why-syrian-refugees-risk-journey-death-europe#",Price for a Syrian man
Libya,Libya,,,Italy,Italy,,,2015,"  1,200 ",,,USD,"  1,200 ","  1,200 ",TRUE,Syrian,,Boat,,"La Repubblica, 9 June 2015, http://video.repubblica.it/dossier/immigrati-2015/milano-centinaia-i-profughi-in-stazione-centrale-direzione-germania/203757/202834?ref=search",Price for a Syrian from Libya to Palermo
Libya,Libya,,,Italy,Italy,,,2014,"  3,000 ",,,USD,"  3,000 ","  3,000 ",TRUE,,,Overland and boat,"Turkey, Hungary, Austria, Slovenia","Di Nicola and Musumeci, Confessioni di un Traficante di Uomini, 2014","Price for a very long route: Italy to Turkey or other Middle Eastern country, then overland through Hungary, Austria, and Slovenia"
Libya,Libya,,,Italy,Italy,,,2014,,"  1,000 ","  1,500 ",EUR, 1330-2000 ,"  1,665 ",TRUE,Eritrean,,Boat,,"Di Nicola and Musumeci, Confessioni di un Traficante di Uomini, 2014",Price for Eritreans from the Libyan coast to Italy
Libya,Libya,,,Italy,Italy,,,2015,"  1,500 ",,,GBP,"  2,310 ","  2,310 ",TRUE,,Eritrean,Boat,,"Daily Mirror, 14 June 2015, http://www.mirror.co.uk/news/world-news/isis-paid-millions-billionaire-godfather-5883285",Price charged by Mered Medhani's network
Libya,Libya,,,Italy,Italy,,,2015,  800 ,,,LYD,  590 ,  590 ,TRUE,Congolese,,Boat,,"Al-Jazeera, 6 June 2015, http://www.aljazeera.com/programmes/talktojazeera/inthefield/2015/06/african-migrants-drives-europe-150604124356795.html","Price for a Congolese man. Original demand from smugglers was for 1500 LYD, but he didn't have the money and bargained down the price"
Libya,Libya,,,Italy,Italy,,,2014,"  1,700 ",,,USD,"  1,700 ","  1,700 ",TRUE,Eritrean,,Boat,,"Dagbladet, 2015, http://www.dagbladet.no/spesial/vatdraktmysteriet/eng/",Price for an Eritrean
Libya,Libya,,,Italy,Italy,,,2014,  200 ,,,USD,  200 ,  200 ,TRUE,Gambian,,Boat,,"Deutsche Welle, 24 April 2015, http://www.dw.de/refugees-hold-out-in-sicilys-catania/a-18406939",Price for a Gambian
Libya,Libya,,,Italy,Italy,,,2013,,  800 ,"  1,500 ",USD, 800-1500 ,"  1,150 ",TRUE,,,Boat,,"RMMS, 2014, http://www.regionalmms.org/fileadmin/content/rmms_publications/Going_West_migration_trends_Libya___Europe_final.pdf",
Libya,Libya,,,Italy,Italy,,,2010,"  3,000 ",,,USD,"  3,000 ","  3,000 ",TRUE,,,Boat,,"RMMS, 2014, http://www.regionalmms.org/fileadmin/content/rmms_publications/Going_West_migration_trends_Libya___Europe_final.pdf",
Libya,Libya,,,Italy,Italy,,,2013,  700 ,,,USD,  700 ,  700 ,TRUE,Eritrean,,Boat,,"RMMS, 2014, http://www.regionalmms.org/fileadmin/content/rmms_publications/Going_West_migration_trends_Libya___Europe_final.pdf",Price for an Eritrean. Boat capacity 100 people.
Libya,Libya,,,Italy,Italy,,,2013,"  1,000 ",,,USD,"  1,000 ","  1,000 ",TRUE,Somali,,Boat,,"RMMS, 2014, http://www.regionalmms.org/fileadmin/content/rmms_publications/Going_West_migration_trends_Libya___Europe_final.pdf",Price for Somali women
Libya,Libya,,,Italy,Italy,,,2012,"  1,000 ",,,USD,"  1,000 ","  1,000 ",TRUE,,,Boat,,"Van Reisen et al, Human Trafficking Cycle: Sinai and Beyond, December 2013",
Libya,Libya,,,Italy,Italy,,,2015,"  1,000 ",,,USD,"  1,000 ","  1,000 ",TRUE,,,Boat,,"The National (UAE), 18 February 2015, http://www.thenational.ae/world/europe/the-guardian-angel-guiding-migrants-after-perilous-crossing#full",
Libya,Libya,,,Italy,Italy,,,2015,"  1,200 ",,,LYD,  900 ,  900 ,TRUE,Nigerian,,Boat,,"The National (UAE), 22 April 2015, http://www.thenational.ae/world/middle-east/migrant-workers-gamble-with-their-lives-to-escape-libyan-violence",Price for a Nigerian man
Libya,Libya,,,Italy,Italy,,,2015,"  2,100 ",,,USD,"  2,100 ","  2,100 ",TRUE,Eritrean,,Boat,,"Deutsche Welle, 22 June 2015, http://www.dw.com/en/migrants-stuck-in-italian-limbo-as-eu-bickers/a-18527207",Price for an Eritrean
Libya,Libya,,,Italy,Italy,,,2015,"  2,500 ",,,EUR,"  2,780 ","  2,780 ",FALSE,Eritrean,,Boat,,"The Guardian, 6 April 2015, http://www.theguardian.com/world/2015/apr/06/at-night-its-like-a-horror-movie-inside-calaiss-official-shanty-town",Price for an Eritrean and her husband
Libya,Libya,,,Italy,Italy,,,2003,,  200 ,  800 ,USD, 200-800 ,  500 ,TRUE,,,Boat,,"UNHCR, 2007, http://www.unhcr.org/49e479ca0.pdf",Price for Moroccans
